name;domain;urls;;
B-Glowing;www.b-glowing.com;www.b-glowing.com;;
B2C Jewels;www.b2cjewels.com;www.b2cjewels.com;;
Baabuk;us.baabuk.com;us.baabuk.com;如果有多个则中间用@分割;
Babbel;www.babbel.com;my.babbel.com@www.babbel.com;;
Babies R Us;www.babiesrus.co.za;www.babiesrus.co.za;;
Babo Botanicals;www.babobotanicals.com;www.babobotanicals.com;;
Baby Aspen;www.babyaspen.com;www.babyaspen.com;;
Baby Jogger;www.babyjogger.com;www.babyjogger.com;;
Babybasket.com;www.babybasket.com;www.babybasket.com;;
Backcountry;www.backcountry.com;www.backcountry.com;;
BackJoy;www.backjoy.com;www.backjoy.com;;
BAGGU;baggu.com;baggu.com;;
Bags and Bows;www.bagsandbows.com;www.bagsandbows.com;;
Bahama Breeze;www.bahamabreeze.com;www.bahamabreeze.com;;
Bailey44;www.bailey44.com;www.bailey44.com;;
Bake Me A Wish;www.bakemeawish.com;www.bakemeawish.com;;
Baked by Melissa;www.bakedbymelissa.com;www.bakedbymelissa.com;;
Balance by bistroMD;www.mybalancemeals.com;www.mybalancemeals.com;;
Balfour;www.balfour.com;www.balfour.com;;
Bally;www.bally.com;www.bally.com;;
Bally's Atlantic City;www.caesars.com;www.caesars.com;;
Balsam Hill;www.balsamhill.com;www.balsamhill.com;;
Banana Republic;bananarepublic.gap.com;secure-bananarepublic.gap.com@bananarepublic.gap.com;;
Banana Republic CA;bananarepublic.gapcanada.ca;secure-bananarepublic.gapcanada.ca@bananarepublic.gapcanada.ca;;
Banana Republic Factory;bananarepublicfactory.gapfactory.com;secure-bananarepublicfactory.gapfactory.com@bananarepublicfactory.gapfactory.com;;
BANDIER;www.bandier.com;www.bandier.com;;
BannerBuzz.com;www.bannerbuzz.com;www.bannerbuzz.com;;
Barbasol;barbasol.com;barbasol.com;;
Barbell Apparel;barbellapparel.com;barbellapparel.com;;
Barbeques Galore;www.bbqgalore.com;www.bbqgalore.com;;
Barceló Hotels;www.barcelo.com;www.barcelo.com;;
bare + BEAUTY;barebeauty.com;barebeauty.com;;
Bare Necessities;www.barenecessities.com;www.barenecessities.com;;
bareMinerals;www.bareminerals.com;www.bareminerals.com;;
Bargain Junkie;www.bargainjunkie.com;www.bargainjunkie.com;;
BarkBox;www.barkbox.com;www.barkbox.com;;
BarkShop;barkshop.com;barkshop.com;;
Barnes and Noble;www.barnesandnoble.com;www.barnesandnoble.com;;
Barneys New York;www.saksfifthavenue.com;www.saksfifthavenue.com;;
Barneys Warehouse;www.saksoff5th.com;www.saksoff5th.com;;
Base Blu;www.baseblu.com;www.baseblu.com;;
Baseball Savings;www.baseballsavings.com;www.baseballsavings.com;;
BaseballMonkey.com;www.baseballmonkey.com;www.baseballmonkey.com;;
Basepaws;www.basepaws.com;www.basepaws.com;;
Bass Pro Shops;www.basspro.com;www.basspro.com;;
BatBnB;www.batbnb.com;www.batbnb.com;;
Bates Footwear;www.batesfootwear.com;www.batesfootwear.com;;
Bath&BodyWorks;www.bathandbodyworks.com;www.bathandbodyworks.com;;
Batteries Plus;www.batteriesplus.com;www.batteriesplus.com;;
BattlBox;www.battlbox.com;www.battlbox.com;;
BaubleBar;www.baublebar.com;www.baublebar.com;;
Baylor Bookstore;www.bkstr.com;www.bkstr.com;;
Baymont by Wyndham;development.wyndhamhotels.com;development.wyndhamhotels.com;;
BB Dakota;bbdakota.com;bbdakota.com;;
BBQGuys;www.bbqguys.com;www.bbqguys.com;;
BCBG;www.bcbg.com;www.bcbg.com;;
BCBGeneration;www.bcbgeneration.com;www.bcbgeneration.com;;
Be Live Hotels;www.belivehotels.com;www.belivehotels.com;;
Beach Bunny Swimwear;www.beachbunnyswimwear.com;www.beachbunnyswimwear.com;;
Beach Camera;www.beachcamera.com;www.beachcamera.com;;
Beachbody;www.beachbody.com;www.beachbody.com;;
Beadaholique;beadaholique.com;beadaholique.com;;
Bealls Florida;www.beallsflorida.com;www.beallsflorida.com;;
Bean Box;beanbox.com;beanbox.com;;
Bear Mattress;www.bearmattress.com;www.bearmattress.com;;
Guess;"shop.guess.com
";"shop.guess.com
";;
Nike;www.nike.com;www.nike.com;;
Gap;"www.gap.com
";"www.gap.com@secure-www.gap.com
";如果有多个则中间用@分割;
& Other Storie;www.stories.com;www.stories.com;;
A Pea in the Pod;www.apeainthepod.com;www.apeainthepod.com;;
A.L.C.;www.alc.ca;www.alc.ca;;
A4C;a4c.com;a4c.com;;
Aaptiv;aaptiv.com;aaptiv.com;;
Abaco Polarized Sunglasses;abacopolarized.com;abacopolarized.com;;
ABC Carpet & Home;www.abchome.com;www.abchome.com;;
ABCmouse.com;www.abcmouse.com;www.abcmouse.com;;
Abebooks;www.abebooks.com;www.abebooks.com;;
Abercrombie&Fitch;www.abercrombie.com;www.abercrombie.com;;
Abt Electronics;www.abt.com;www.abt.com;;
AC Lens;www.aclens.com;www.aclens.com;;
Academy Sports & Outdoors;www.academy.com;www.academy.com;;
ACCOMPANY;www.accompanyus.com;www.accompanyus.com;;
Accor Hotels;all.accor.com;all.accor.com;;
AccuQuilt;www.accuquilt.com;www.accuquilt.com;;
ACE;www.acehardware.com;www.acehardware.com;;
Ace Hardware;www.acehardware.com;www.acehardware.com;;
Acer;www.acer.com;www.acer.com;;
Acme Tools;www.acmetools.com;www.acmetools.com;;
Active Faith Sports;activefaithsports.com;activefaithsports.com;;
Active Ride Shop;www.activerideshop.com;www.activerideshop.com;;
AcuRite;www.acurite.com;www.acurite.com;;
Adam & Eve;adamevestores.com;adamevestores.com;;
Adam Lippes;www.shopbop.com;www.shopbop.com;;
Addition Elle;www.additionelle.com;www.additionelle.com;;
adidas;www.adidas.com;www.adidas.com;;
Adorama;www.adorama.com;www.adorama.com;;
Adornmonde;www.adornmonde.com;www.adornmonde.com;;
Advance Auto Parts;shop.advanceautoparts.com;shop.advanceautoparts.com;;
Aerie by American Eagle;www.ae.com;www.ae.com;;
